date,day_type,number_of_tasks,task_1_planned,task_1_achieved,task_1_importance,task_1_quality,task_1_score,task_2_planned,task_2_achieved,task_2_importance,task_2_quality,task_2_score,task_3_planned,task_3_achieved,task_3_importance,task_3_quality,task_3_score,task_4_planned,task_4_achieved,task_4_importance,task_4_quality,task_4_score,task_5_planned,task_5_achieved,task_5_importance,task_5_quality,task_5_score,task_6_planned,task_6_achieved,task_6_importance,task_6_quality,task_6_score,task_7_planned,task_7_achieved,task_7_importance,task_7_quality,task_7_score,task_8_planned,task_8_achieved,task_8_importance,task_8_quality,task_8_score,task_9_planned,task_9_achieved,task_9_importance,task_9_quality,task_9_score,task_10_planned,task_10_achieved,task_10_importance,task_10_quality,task_10_score,daily_efficiency
1,Chill,2,1,1,1,1,1.04,3,2,1,1,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93
5,Chill,2,4,2,1,1,0.71,4,3,1,1,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79
2,Efficient,5,4,3,0.7,0.8,0.62,6,2,1,0.5,0.28,2,1.5,1,1,0.77,1,1,1,1,0.91,6,4,0.7,0.5,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,0.63
8,Efficient,5,5,4.3,0.7,0.9,0.7,5,5,0.5,0.5,0.59,5,5,0.8,0.7,0.76,4,3,0.8,0.7,0.64,7,5,0.6,0.7,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,0.66
3,Normal,3,3,2,0.7,0.8,0.61,5,4,0.2,0.9,0.51,8,5,0.7,0.8,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59
4,Normal,2,3,2,0.6,0.7,0.56,4,1,0.3,2,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47
6,Normal,5,4,3,0.8,0.7,0.67,4,2,0.9,0.5,0.54,10,4,1,0.2,0.29,7,2,0.1,1,0.19,7,2,0.6,0.8,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
7,Normal,3,2,2,0.6,0.7,0.71,4,2,0.4,0.4,0.37,4,1,0.5,0.5,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
9,Normal,4,3.0,2.0,1.0,1.0,0.75,4.0,3.0,0.6,0.5,0.55,7.0,5.0,0.6,0.8,0.6,4.0,3.0,0.5,0.6,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63
10,Efficient,4,3.0,2.0,1.0,1.0,0.72,7.0,6.0,1.0,0.6,0.75,5.0,4.0,0.6,0.8,0.61,4.0,1.0,1.0,1.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59
11,Efficient,6,4.0,3.0,0.8,0.7,0.64,6.0,4.0,0.5,0.7,0.5,6.0,4.0,0.5,0.8,0.52,4.0,2.0,0.6,0.7,0.46,6.0,5.0,0.7,0.8,0.66,1.0,0.7,1.0,1.0,0.74,,,,,,,,,,,,,,,,,,,,,0.61
12,Normal,3,5.0,4.5,1.0,0.8,0.85,5.0,4.0,1.0,1.0,0.83,4.0,3.5,0.5,0.9,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
13,Efficient,3,2.0,1.5,1.0,0.7,0.71,2.0,2.0,1.0,0.7,0.84,2.0,2.0,1.0,0.8,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81
14,Normal,3,2.0,1.0,0.7,0.9,0.55,3.0,3.0,0.8,0.9,0.84,4.0,3.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74
15,Chill,4,3.0,2.0,1.0,1.0,0.82,4.0,3.0,1.0,1.0,0.87,7.0,5.0,1.0,1.0,0.85,7.0,7.0,1.0,1.0,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89
16,Efficient,5,4.0,3.0,0.6,0.7,0.57,4.0,3.0,0.8,0.8,0.66,4.0,4.0,1.0,1.0,0.91,5.0,3.5,0.7,0.9,0.62,1.0,1.0,0.7,0.6,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,0.71
17,Normal,3,3.0,2.0,0.8,0.9,0.67,3.0,2.0,0.9,0.9,0.7,3.0,3.0,1.0,1.0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78
18,Efficient,3,3.0,2.0,0.8,0.9,0.64,3.0,2.0,0.9,0.9,0.67,3.0,3.0,1.0,1.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75
19,Chill,3,3.0,3.0,1.0,1.0,1.04,3.0,2.0,0.9,0.9,0.76,3.0,2.0,0.8,0.9,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85
